date,workout,energy burned (cal)
2025-02-22T07:49:17+1000,Walking,126.0
2025-02-22T07:06:22+1000,Walking,143.0
2025-02-21T07:23:28+1000,Traditional Strength Training,245.0
2025-02-21T06:18:15+1000,Walking,15.0
2025-02-20T07:31:57+1000,Walking,327.0
2025-02-20T06:37:47+1000,Walking,145.0
2025-02-19T07:18:14+1000,Traditional Strength Training,211.0
2025-02-19T06:37:33+1000,Walking,129.0
2025-02-18T07:23:21+1000,Walking,312.0
2025-02-18T06:37:20+1000,Walking,144.0
2025-02-17T07:18:15+1000,Traditional Strength Training,206.0
2025-02-17T06:32:46+1000,Walking,126.0
2025-02-16T12:08:53+1000,Walking,288.0
2025-02-14T07:21:02+1000,Traditional Strength Training,278.0
2025-02-13T07:24:07+1000,Walking,308.0
2025-02-13T06:38:16+1000,Walking,133.0
2025-02-12T07:24:31+1000,Traditional Strength Training,286.0
2025-02-12T06:33:58+1000,Walking,118.0
2025-02-11T07:24:07+1000,Walking,303.0
2025-02-11T06:40:03+1000,Walking,140.0
2025-02-10T07:29:40+1000,Traditional Strength Training,271.0
2025-02-10T06:34:47+1000,Walking,118.0
2025-02-08T08:37:08+1000,Walking,273.0
2025-02-08T07:56:08+1000,Walking,131.0
2025-02-07T07:14:33+1000,Traditional Strength Training,254.0
2025-02-06T07:33:57+1000,Walking,34.0
2025-02-06T07:23:42+1000,Elliptical,309.0
2025-02-06T06:36:08+1000,Walking,124.0
2025-02-05T07:28:39+1000,Traditional Strength Training,172.0
2025-02-05T06:11:55+1000,Walking,20.0
2025-02-04T07:26:55+1000,Walking,307.0
2025-02-04T06:38:39+1000,Walking,126.0
2025-02-03T07:24:54+1000,Traditional Strength Training,245.0
2025-02-03T06:37:27+1000,Walking,118.0
2025-02-02T12:30:24+1000,Walking,528.0
2025-02-02T08:48:06+1000,Walking,17.0
2025-02-01T08:45:50+1000,Traditional Strength Training,283.0
2025-02-01T07:55:45+1000,Walking,112.0
2025-01-31T07:21:07+1000,Traditional Strength Training,222.0
2025-01-31T06:18:29+1000,Walking,18.0
2025-01-30T07:39:44+1000,Walking,385.0
2025-01-30T06:36:55+1000,Walking,145.0
2025-01-29T07:25:56+1000,Traditional Strength Training,227.0
2025-01-29T06:40:09+1000,Walking,142.0
2025-01-28T07:20:27+1000,Walking,265.0
2025-01-28T06:33:58+1000,Walking,137.0
2025-01-27T10:42:32+1000,Walking,242.0
2025-01-26T11:46:47+1000,Walking,284.0
2025-01-25T07:43:07+1000,Walking,23.0
2025-01-25T07:37:30+1000,Elliptical,255.0
2025-01-25T07:01:17+1000,Walking,144.0
2025-01-24T11:28:49+1000,Cycling,50.0
2025-01-24T07:18:58+1000,Traditional Strength Training,171.0
2025-01-24T06:33:37+1000,Walking,135.0
2025-01-23T07:20:16+1000,Walking,274.0
2025-01-23T06:36:34+1000,Walking,140.0
2025-01-22T07:43:42+1000,Traditional Strength Training,327.0
2025-01-22T06:38:20+1000,Walking,94.0
2025-01-21T07:28:45+1000,Walking,310.0
2025-01-21T06:39:46+1000,Walking,80.0
2025-01-20T06:42:21+1000,Walking,107.0
2025-01-19T09:15:00+1000,Walking,223.0
2025-01-18T07:04:17+1000,Walking,166.0
2025-01-16T07:12:44+1000,Walking,318.0
2025-01-15T07:08:50+1000,Traditional Strength Training,214.0
2025-01-14T07:12:32+1000,Walking,363.0
2025-01-13T07:20:57+1000,Traditional Strength Training,218.0
2025-01-13T06:36:29+1000,Walking,140.0
2025-01-12T09:32:13+1000,Walking,143.0
2025-01-11T08:02:49+1000,Walking,221.0
2025-01-11T07:19:40+1000,Walking,150.0
2025-01-10T13:48:54+1000,Walking,38.0
2025-01-10T07:13:47+1000,Traditional Strength Training,205.0
2025-01-10T06:19:50+1000,Walking,50.0
2025-01-09T07:09:22+1000,Walking,250.0
2025-01-09T06:36:14+1000,Walking,145.0
2025-01-08T07:23:06+1000,Traditional Strength Training,157.0
2025-01-08T06:38:48+1000,Walking,153.0
2025-01-07T07:32:34+1000,Walking,358.0
2025-01-07T06:41:26+1000,Walking,89.0
2025-01-06T07:10:43+1000,Traditional Strength Training,221.0
2025-01-02T07:42:43+1000,Walking,436.0
2025-01-02T06:20:11+1000,Walking,19.0
2024-12-31T10:24:52+1000,Walking,167.0
2024-12-31T07:26:15+1000,Walking,138.0
2024-12-31T06:46:11+1000,Walking,14.0
2024-12-30T14:27:01+1000,Walking,453.0
2024-12-30T08:02:21+1000,Traditional Strength Training,138.0
2024-12-30T06:54:54+1000,Walking,139.0
2024-12-28T10:06:20+1000,Walking,109.0
2024-12-28T09:48:04+1000,Elliptical,329.0
2024-12-28T09:01:52+1000,Walking,150.0
2024-12-27T07:48:42+1000,Traditional Strength Training,197.0
2024-12-27T07:06:00+1000,Walking,110.0
2024-12-26T14:50:49+1000,Walking,210.0
2024-12-25T07:42:20+1000,Walking,256.0
2024-12-25T06:43:06+1000,Walking,114.0
2024-12-24T09:03:05+1000,Walking,126.0
2024-12-23T07:38:59+1000,Traditional Strength Training,141.0
2024-12-23T06:39:21+1000,Walking,116.0
2024-12-22T10:20:19+1000,Walking,313.0
2024-12-21T07:45:06+1000,Walking,9.0
2024-12-21T07:32:12+1000,Walking,146.0
2024-12-20T07:13:23+1000,Traditional Strength Training,244.0
2024-12-19T07:29:55+1000,Walking,333.0
2024-12-19T06:34:54+1000,Walking,114.0
2024-12-18T07:25:47+1000,Traditional Strength Training,229.0
2024-12-18T06:39:08+1000,Walking,148.0
2024-12-17T07:27:42+1000,Walking,382.0
2024-12-15T10:01:33+1000,Walking,321.0
2024-12-14T09:38:53+1000,Walking,245.0
2024-12-14T09:03:11+1000,Elliptical,243.0
2024-12-14T08:23:49+1000,Walking,132.0
2024-12-13T07:26:29+1000,Traditional Strength Training,261.0
2024-12-13T06:37:55+1000,Walking,129.0
2024-12-12T07:25:52+1000,Walking,149.0
2024-12-12T07:04:16+1000,Elliptical,166.0
2024-12-12T06:37:27+1000,Walking,125.0
2024-12-11T07:04:50+1000,Traditional Strength Training,171.0
2024-12-10T07:28:37+1000,Walking,302.0
2024-12-10T06:32:47+1000,Walking,121.0
2024-12-09T18:09:41+1000,Cycling,96.0
2024-12-09T07:20:10+1000,Traditional Strength Training,205.0
2024-12-09T06:37:55+1000,Walking,127.0
2024-12-08T10:15:16+1000,Walking,277.0
2024-12-07T10:22:19+1000,Walking,272.0
2024-12-07T08:14:09+1000,Walking,127.0
2024-12-06T07:25:42+1000,Traditional Strength Training,199.0
2024-12-06T06:41:20+1000,Walking,129.0
2024-09-17T07:10:26+1000,Functional Strength Training,155.0
2024-08-27T07:15:20+1000,Functional Strength Training,179.0
2024-08-24T10:35:27+1000,Functional Strength Training,95.0
2024-08-20T07:13:24+1000,Functional Strength Training,135.0
2024-08-19T12:35:06+1000,Functional Strength Training,231.0
2024-08-18T10:26:00+1000,Functional Strength Training,250.0
2024-08-17T15:55:31+1000,Functional Strength Training,207.0
2024-08-14T13:48:21+1000,Functional Strength Training,182.0
2024-08-13T11:54:11+1000,Functional Strength Training,226.0
2024-08-11T09:44:53+1000,Functional Strength Training,177.0
2024-08-06T19:27:20+1000,Functional Strength Training,226.0
2024-07-30T06:59:30+1000,Functional Strength Training,81.0
2024-06-26T11:44:10+1000,Functional Strength Training,185.0
2024-06-24T11:44:23+1000,Functional Strength Training,167.0
2024-06-07T11:46:28+1000,Functional Strength Training,240.0
2024-06-06T08:41:41+1000,Functional Strength Training,273.0
2024-06-04T07:19:33+1000,Functional Strength Training,182.0
2024-06-03T09:48:01+1000,Functional Strength Training,126.0
2024-05-26T14:03:13+1000,Functional Strength Training,100.0
2024-05-25T08:33:46+1000,Functional Strength Training,206.0
2024-05-17T14:14:32+1000,Functional Strength Training,158.0
2024-05-15T07:28:24+1000,Functional Strength Training,61.0
2024-05-14T07:27:33+1000,Functional Strength Training,277.0
2024-05-04T09:44:28+1000,Functional Strength Training,91.0
2024-05-03T11:11:21+1000,Functional Strength Training,279.0
2024-05-01T07:23:06+1000,Functional Strength Training,116.0
2024-04-30T07:30:07+1000,Functional Strength Training,206.0
2024-04-29T18:11:51+1000,Functional Strength Training,275.0
2024-04-27T11:03:01+1000,Functional Strength Training,245.0
2024-04-26T10:09:24+1000,Functional Strength Training,133.0
2024-04-25T10:42:36+1000,Functional Strength Training,378.0
2024-04-17T07:21:42+1000,Functional Strength Training,200.0
2024-04-16T07:18:06+1000,Functional Strength Training,219.0
2024-04-15T07:21:07+1000,Functional Strength Training,206.0
2024-04-12T16:25:16+1000,Functional Strength Training,125.0
2024-04-10T07:14:26+1000,Functional Strength Training,155.0
2024-04-09T17:48:48+1000,Functional Strength Training,182.0
2024-04-08T07:20:35+1000,Functional Strength Training,208.0
2024-04-05T08:00:27+1000,Functional Strength Training,278.0
2024-04-02T07:21:39+1000,Functional Strength Training,259.0
2024-04-01T07:30:54+1000,Functional Strength Training,281.0
2024-03-29T06:57:03+1000,Functional Strength Training,84.0
2024-03-25T07:12:16+1000,Functional Strength Training,74.0
2024-03-24T11:24:10+1000,Functional Strength Training,244.0
2024-03-21T08:42:02+1000,Functional Strength Training,218.0
2024-03-20T07:47:13+1000,Functional Strength Training,115.0
2024-03-18T07:25:49+1000,Functional Strength Training,231.0
2024-03-15T07:07:25+1000,Functional Strength Training,41.0
2024-03-12T08:20:18+1000,Functional Strength Training,149.0
2024-03-11T08:02:21+1000,Functional Strength Training,216.0
2024-03-08T07:18:47+1000,Functional Strength Training,188.0
2024-03-07T07:00:00+1000,Functional Strength Training,45.0
2024-03-06T07:18:57+1000,Functional Strength Training,166.0
2024-03-05T07:25:59+1000,Functional Strength Training,231.0
2024-03-04T07:29:05+1000,Functional Strength Training,234.0
2024-03-02T15:41:52+1000,Functional Strength Training,263.0
2024-03-02T08:07:08+1000,Functional Strength Training,32.0
2024-03-01T16:20:48+1000,Functional Strength Training,295.0
2024-02-29T07:00:37+1000,Functional Strength Training,101.0
2024-02-28T17:16:00+1000,Cycling,156.0
2024-02-28T12:19:00+1000,Walking,46.0
2024-02-28T08:52:00+1000,Cycling,147.0
2024-02-28T07:27:30+1000,Functional Strength Training,256.0
2024-02-28T06:32:00+1000,Walking,30.0
2024-02-27T18:01:08+1000,Running,274.0
2024-02-27T08:41:00+1000,Cycling,147.0
2024-02-27T07:25:41+1000,Functional Strength Training,213.0
2024-02-27T06:45:00+1000,Walking,59.0
2024-02-26T16:33:00+1000,Cycling,161.0
2024-02-26T08:53:00+1000,Cycling,180.0
2024-02-26T08:13:00+1000,Walking,56.0
2024-02-26T07:30:40+1000,Functional Strength Training,275.0
2024-02-26T06:44:00+1000,Walking,108.0
2024-02-25T15:22:00+1000,Walking,34.0
2024-02-25T09:14:47+1000,Running,590.0
2024-02-24T11:54:00+1000,Walking,40.0
2024-02-24T10:34:00+1000,Walking,59.0
2024-02-24T10:00:08+1000,Cycling,214.0
2024-02-23T21:46:00+1000,Cycling,213.0
2024-02-23T17:25:00+1000,Cycling,100.0
